*	itBook23: Console Service Provider
..	AT&T: C
1.	Microsoft: Windows
2.	Apple: Mac
3.	Unix: Linux
4.	Alphabet: Android
5.	Sun Microsystems: Java
6.	ISRO: Artificial Satellite
7.	Intel: Computer Component
8.	BCMI Labs: Arduino
9.	Nvidia: GPU
10.	Raspberry: Pi
11.	IBM: Proprietary Software
12.	Oracle: Solaris
13.	BSD: BSD Operating System
14.	Alphabet: Chromium
15.	Amazon: AWS
16.	Meta: Social Networking
17.	Mozilla: Firefox
18.	AMD: CPU
19.	Shopify: E-Commerce
20.	GoDaddy: Domain Server
21.	Zoho: CMS
22.	Boeing: Aircraft
23.	HP: Personal Computer
24.	Qualcomm: IC
25.	Sony: Electronic Gadget
26.	Bitcoin: Cryptocurrency
::.	W3C: Internet Protocol